wd:Q191067,pr:publication-type,wd:P1476,wd:P1680,wd:P50,Helper author,wd:P356,wd:P6962,wd:P136,wd:P304,wd:P433,wd:P478,wd:P577,wd:P582,wd:P580,wd:P527,Helper works included,wd:P921,Helper subject Item ID,pr:subject-place,pr:subject-of,Helper subject of,pr:note-trend,pr:source,pr:internal-source,wd:P291,wd:P17,pr:publication-location,wd:P123,Helper publisher,pr:loc-subject,wd:P856,wd:P655,Helper translator,wd:P736,Helper cover artist,wd:P110,Helper illustrator,wd:P767,Helper contributor,pr:author-location,wd:P407,wd:P7937,pr:dedication,wd:P7535,pr:note-contents,wd:P485,Helper holding institution,pr:note-holding-institution,pr:note-copy,wd:P170,Helper data curator,pr:fieldwork-date,pr:fieldwork-note,pr:library-loan,pr:library-copy-url
,,شخص واحد في ثلاث مدن;One Person in Three Cities,,5643,"Zaqtan, Ghassan",,,,,,,25/9/2020,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,9/1/2020,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,8/10/2019,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,25/6/2019,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,11/4/2019,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,7/1/2019,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"أحمد نواش، الرسم في المنفى;Ahmad Nawash, Painting in Exile",,7654,"Halaby, Samia",,,,,,,12/12/2018,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jq/about,,Ramallah,Palestine,,10489,Jerusalem Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,3/10/2018,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"العودة بضربات فرشاة ولون ومربّع;The Return, with the Strokes of a Brush, a Color and a Square",,7654,"Halaby, Samia",,,,,,,27/9/2018,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من المحرر;From the Editor,,5625,"Khalidi, Rashid",,,,,,,12/6/2018,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
