issueCoverURL	articleID	articleTitle	authorID	authorName	magazineName	issueID	issueDate	issueNumber	pageNo	magazineID	subject_item	publication_date	source
magazinesCovers\al-adab.JPG	455925	مناقشات : قضيتان في العدد ا لأخير	6741	صبري حافظ	الآداب	20152	01 أغسطس 1962	8	68	255		01/08/1962	https://archive.alsharekh.org/Articles/255/20152/455925
magazinesCovers\al-adab.JPG	456051	الشعر المعاصر ومسؤولية الناقد	6741	صبري حافظ	الآداب	20156	01 ديسمبر 1962	12	67	255		01/12/1962	https://archive.alsharekh.org/Articles/255/20156/456051
magazinesCovers\AL_ADIB.jpg	329429	"الترعة "" قصة """	6741	صبري حافظ	الأديب	14683	1 مايو 1963	5	38	144		01/05/1963	https://archive.alsharekh.org/Articles/144/14683/329429
magazinesCovers\al-adab.JPG	456349	اللغة واللامعقول في مسرح أونيسكو	6741	صبري حافظ	الآداب	20166	01 أكتوبر 1963	10	24	255		01/10/1963	https://archive.alsharekh.org/Articles/255/20166/456349
magazinesCovers\al-adab.JPG	456362	اللغة واللامعقول في مسرح أونيسكو - تتمة صفحة 27	6741	صبري حافظ	الآداب	20166	01 أكتوبر 1963	10	55	255		01/10/1963	https://archive.alsharekh.org/Articles/255/20166/456362
magazinesCovers\al-adab.JPG	456377	الاتجاه الروائي الجديد عن نجيب محفوظ	6741	صبري حافظ	الآداب	20167	01 نوفمبر 1963	11	18	255		01/11/1963	https://archive.alsharekh.org/Articles/255/20167/456377
magazinesCovers\al-adab.JPG	456388	الاتجاه الروائي الجديد عن نجيب محفوظ- تتمة صفحة 22	6741	صبري حافظ	الآداب	20167	01 نوفمبر 1963	11	47	255		01/11/1963	https://archive.alsharekh.org/Articles/255/20167/456388
magazinesCovers\al-adab.JPG	456407	الخريف والسمان الذي لم يسقط!	6741	صبري حافظ	الآداب	20168	01 ديسمبر 1963	12	18	255		01/12/1963	https://archive.alsharekh.org/Articles/255/20168/456407
magazinesCovers\al-adab.JPG	456422	الخريف والسمان الذي لم يسقط!- تتمة المنشور على الصفحة21	6741	صبري حافظ	الآداب	20168	01 ديسمبر 1963	12	62	255		01/12/1963	https://archive.alsharekh.org/Articles/255/20168/456422
magazinesCovers\al-adab.JPG	456426	الأديب والدولة ومفهوم الحرية	6741	صبري حافظ	الآداب	20168	01 ديسمبر 1963	12	69	255		01/12/1963	https://archive.alsharekh.org/Articles/255/20168/456426
