name	omeka	omeka_id	Added by	Period I	Period II	Period III	Notes	Sharekh links (by title)	url by title	name to search	name decoded	Sharekh links (by author)	# articles on Sharekh (by title)
صبري حافظ			Refqa					by title	https://archive.alsharekh.org/SearchResult/%D8%B5%D8%A8%D8%B1%D9%8A%20%D8%AD%D8%A7%D9%81%D8%B8/2	%D8%B5%D8%A8%D8%B1%D9%8A%20%D8%AD%D8%A7%D9%81%D8%B8	صبري حافظ	by author	291
محمود درويش	Link	5484	Refqa	Israeli Rule I - '48 Areas (1948-1967)	Beirut (1965-1982)	Paris (1982-1994)		by title	https://archive.alsharekh.org/SearchResult/%D9%85%D8%AD%D9%85%D9%88%D8%AF%20%D8%AF%D8%B1%D9%88%D9%8A%D8%B4/2	%D9%85%D8%AD%D9%85%D9%88%D8%AF%20%D8%AF%D8%B1%D9%88%D9%8A%D8%B4	محمود درويش	by author	283
نقولا حداد_;;_فدوى طوقان			Refqa	Mahjar (1900-1955)			US	by title	https://archive.alsharekh.org/SearchResult/%D9%86%D9%82%D9%88%D9%84%D8%A7%20%D8%AD%D8%AF%D8%A7%D8%AF/2	%D9%86%D9%82%D9%88%D9%84%D8%A7%20%D8%AD%D8%AF%D8%A7%D8%AF	نقولا حداد	by author	216
فدوى طوقان	Link	5720	Ibrahim				Mandate	by title	https://archive.alsharekh.org/SearchResult/%D9%81%D8%AF%D9%88%D9%89%20%D8%B7%D9%88%D9%82%D8%A7%D9%86/2	%D9%81%D8%AF%D9%88%D9%89%20%D8%B7%D9%88%D9%82%D8%A7%D9%86	فدوى طوقان	by author	206
جبرا ابراهيم جبرا	Link	5459	Ibrahim	British Rule (1918-1948)			Mandate/Iraq	by title	https://archive.alsharekh.org/SearchResult/%D8%AC%D8%A8%D8%B1%D8%A7%20%D8%A5%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85%20%D8%AC%D8%A8%D8%B1%D8%A7/2	%D8%AC%D8%A8%D8%B1%D8%A7%20%D8%A5%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85%20%D8%AC%D8%A8%D8%B1%D8%A7	جبرا إبراهيم جبرا	by author	180
إدوارد سعيد_;;_سعدي يوسف_;;_فيصل دراج			Refqa					by title	https://archive.alsharekh.org/SearchResult/%D8%A5%D8%AF%D9%88%D8%A7%D8%B1%D8%AF%20%D8%B3%D8%B9%D9%8A%D8%AF/2	%D8%A5%D8%AF%D9%88%D8%A7%D8%B1%D8%AF%20%D8%B3%D8%B9%D9%8A%D8%AF	إدوارد سعيد	by author	155
سعدي يوسف			Refqa		Beirut (1965-1982)			by title	https://archive.alsharekh.org/SearchResult/%D8%B3%D8%B9%D8%AF%D9%8A%20%D9%8A%D9%88%D8%B3%D9%81/2	%D8%B3%D8%B9%D8%AF%D9%8A%20%D9%8A%D9%88%D8%B3%D9%81	سعدي يوسف	by author	150
ميخائيل نعيمة	Link	5565	Refqa	Mahjar (1900-1955)			US	by title	https://archive.alsharekh.org/SearchResult/%D9%85%D9%8A%D8%AE%D8%A7%D8%A6%D9%8A%D9%84%20%D9%86%D8%B9%D9%8A%D9%85%D8%A9/2	%D9%85%D9%8A%D8%AE%D8%A7%D8%A6%D9%8A%D9%84%20%D9%86%D8%B9%D9%8A%D9%85%D8%A9	ميخائيل نعيمة	by author	149
جبران خليل جبران	Link	8533	Refqa	Mahjar (1900-1955)			US	by title	https://archive.alsharekh.org/SearchResult/%D8%AC%D8%A8%D8%B1%D8%A7%D9%86%20%D8%AE%D9%84%D9%8A%D9%84%20%D8%AC%D8%A8%D8%B1%D8%A7%D9%86/2	%D8%AC%D8%A8%D8%B1%D8%A7%D9%86%20%D8%AE%D9%84%D9%8A%D9%84%20%D8%AC%D8%A8%D8%B1%D8%A7%D9%86	جبران خليل جبران	by author	144
فيصل دراج	Link	5642	Refqa	"Palestinian Refugee Camps - Jordan, Lebanon, Syria (1948-Present)"	Beirut (1965-1982)			by title	https://archive.alsharekh.org/SearchResult/%D9%81%D9%8A%D8%B5%D9%84%20%D8%AF%D8%B1%D8%A7%D8%AC/2	%D9%81%D9%8A%D8%B5%D9%84%20%D8%AF%D8%B1%D8%A7%D8%AC	فيصل دراج	by author	122
